record_id,description,aircraft_model,manufacturer,accident_type,date,year,state,city,airport,source
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.,185,CESSNA,AU,3-15-19750315,3,H,,H,faa
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.,SGS233,SCWZER,ME,4-19-19750419,4,K,,K,faa
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.",V35B,BEECH,AU,10-29-19751029,10,L,,L,faa
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS,E18S,BEECH,AU,12-09-19751209,12,L,,L,faa
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.,175A,CESSNA,AF,8-18-19750818,8,H,,H,faa
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.,150M,CESSNA,AF,9-05-19750905,9,H,,H,faa
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.,V35B,BEECH,AU,9-23-19750923,9,L,,L,faa
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.,F35,BEECH,AU,2-15-19760215,2,L,,L,faa
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,8GCBC,BLANCA,ME,6-06-19760606,6,H,,H,faa
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.,T210H,CESSNA,AU,5-31-19760531,5,H,,H,faa
19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG",480,CAMAIR,AU,5-07-19760507,5,L,,L,faa
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.,402A,CESSNA,ME,10-22-19761022,10,L,,L,faa
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.,T210F,CESSNA,AU,10-21-19761021,10,H,,H,faa
19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.",M20C,MOONEY,ME,7-30-19760730,7,L,,L,faa
19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.,206B,BELL,DE,7-15-19760715,7,G,,G,faa
19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.",7ECA,BLANCA,ME,11-19-19761119,11,H,,H,faa
19770225003319A,NO NARRATIVE AVAILABLE,5647,AMTR,II,2-25-19770225,2,,,,faa
19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.",C46FCURTIS,CURTIS,AU,5-06-19770506,5,L,PWA,L,faa
19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT,150M,CESSNA,AU,1-20-19770120,1,H,,H,faa
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.,A150K,CESSNA,II,7-02-19770702,7,H,,H,faa
19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.,108,UNIVAR,AU,8-14-19770814,8,H,,H,faa
19770530012939A,WRONG PROP INSTALLED,3910219,AMTR,AU,5-30-19770530,5,,,,faa
19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.,680FL,RKWELL,AU,5-28-19770528,5,H,,H,faa
19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE,210L,CESSNA,AU,7-05-19770705,7,H,,H,faa
19770622022049A,OIL FILLER CAP MISSING.,182F,CESSNA,II,6-22-19770622,6,H,CONT,H,faa
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.,720RKWELL,RKWELL,EQ,6-10-19770610,6,H,,H,faa
19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.,G35,BEECH,EQ,6-22-19770622,6,L,,L,faa
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.,OH13EISENB,ISENBG,II,6-17-19770617,6,,,,faa
19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.",369HS,HUGHES,ME,5-30-19770530,5,G,,G,faa
19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.,7GCAA,BLANCA,II,7-03-19770703,7,H,,H,faa
19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.,310D,CESSNA,II,7-06-19770706,7,L,,L,faa
19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.,DC7B,DOUG,AU,9-12-19770912,9,L,WRIGHT,L,faa
19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.",172,CESSNA,II,1-06-19780106,1,H,,H,faa
19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.,PA22150,PIPER,II,1-10-19780110,1,H,,H,faa
19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.,182,CESSNA,II,1-12-19780112,1,H,,H,faa
19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.,177RG,CESSNA,II,1-08-19780108,1,H,,H,faa
