relation_id,head,relation,tail,context,source
REL_0,TRAILWHEEL,owned by,TKOF,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.,rebel
REL_0,TKOF,owner of,TRAILWHEEL,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.,rebel
REL_1,HIT TREE,manufacturer,AIRBORNE,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.,rebel
REL_2,2ND ILS APCH,parent organization,INOP,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.",rebel
REL_2,INOP,subsidiary,2nd ILS APCH,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.",rebel
REL_3,PEDAL,located in the administrative territorial entity,TAXI,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS,rebel
REL_3,TAXI,contains administrative territorial entity,PEDAL,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS,rebel
REL_4,SFC,different from,TFC,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.,rebel
REL_4,TFC,different from,SFC,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.,rebel
REL_5,GRASS TAXIWAY,length,6,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.,rebel
REL_6,DEP FOR DEST,product or material produced,EMERG GR DOWN,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.,rebel
REL_6,EMERG GR DOWN,manufacturer,DEP FOR DEST,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.,rebel
REL_7,FLT TO,instance of,REPTD,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.,rebel
REL_7,REPTD,has parts of the class,FLT TO,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.,rebel
REL_8,GLIDER,notable work,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,rebel
REL_8,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,creator,GLIDER,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,rebel
REL_9,TURBOCHARGER WASTE GATE,instance of,MAINT,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.,rebel
REL_10,LEFT ENG OIL SUPPLY EXHAUSTED,instance of,ENG,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG",rebel
REL_11,WNDSHD,instance of,T/O,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.,rebel
REL_12,PREV NOSE WHEEL,subclass of,LGT,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.,rebel
