word,example,source
baffle,cylinder baffle #4 intake leaking.,maintnet_terms
left,#2 & 4 left cylinder rocker cover gaskets leaking.,maintnet_terms
right,induction right tube hose clamps loose (all cylinder).,maintnet_terms
cylinder,cylinder rocker box cover screws are loose.,maintnet_terms
gasket,#1 intake gasket leaking.,maintnet_terms
complete,induction tube hose clamps loose (all cylinder) complete run.,maintnet_terms
thrust,on start up  engine began to run rough. ran engine @ 1200 right pattern thrust.,maintnet_terms
inoperable,engine run rough flight inoperable.,maintnet_terms
hydraulic,on start up  engine began to run rough. ran engine hydraulic@ 1200 right pattern,maintnet_terms
magnetos,#4 engine magnetos is broken,maintnet_terms
pressure,left engine has high oil pressure on take off.,maintnet_terms
ignition,left engine & ignition stuck in 30 PSI.,maintnet_terms
engine,left engine #2 intake leaking.,maintnet_terms
forward,in flight  engine became rough. discovered forward magneto inoperable.,maintnet_terms
replace,#2 engine need emergency replacement.,maintnet_terms
increase,oil pressure increasing suddenly in take off.,maintnet_terms
maintenance,top left baffle has a crack maintenance required.,maintnet_terms
battery,battery low voltage engine not start.,maintnet_terms
break,#4 cylinder rocker cover is broken.,maintnet_terms
quit,#2 & 1 engine suddenly quit at start.,maintnet_terms
alternator,left baffle and alternator plug worn.,maintnet_terms
turn,left engine #2 turn & 4 side baffle seals loose.,maintnet_terms
exhaust gas temperature,right engine exhaust gas temperature high & #3 aft baffle seal is loose.,maintnet_terms
cylinder head temperature,right cylinder head temperature not show in run.,maintnet_terms
upper,#1 oil upper cover gasket leaking.,maintnet_terms
tight,#2 oil gasket needs tighten.,maintnet_terms
celsius,during ground run pilot noticed high oil press (engine) 50 celsius.,maintnet_terms
airmet,left airmet is broken,maintnet_terms
alarm,alarm need service. Not working,maintnet_terms
assistant,left engine #4 cylinder baffle & assistant cracked.,maintnet_terms
fahrenheit,right engine #4 cylinder baffle cracked & engine press 150 fahrenheit,maintnet_terms
channel,#4 cylinder channel hose missing.,maintnet_terms
external,baffle external plug hole worn.,maintnet_terms
alpha,engine started running rough & vibrating a lot. Alpha set zero,maintnet_terms
service bulletin,service bulletin needs attention.,maintnet_terms
failed,engine failed at first run.,maintnet_terms
suddenly,engine suddenly quit.,maintnet_terms
assistant,aircraft assistant needs check,maintnet_terms
loss,gasket cover loss.,maintnet_terms
leadingedge,#3 & 4 rocker cover gaskets are leaking.,maintnet_terms
normal,#3 intake tube gasket is leaking.,maintnet_terms
exhaust,engine would not start. exhaust valve stuck.,maintnet_terms
drift angle,drift angle is high in approach.,maintnet_terms
cutoff,left engine cutoff not working.,maintnet_terms
knot,#2 & 4 knot display broken.,maintnet_terms
resistance,#1 intake resistant damaged & leaking.,maintnet_terms
flight,#3 & 4 exhaust noise high during flight.,maintnet_terms
aircraft,student could not run the aircraft,maintnet_terms
tapper,left engine #4 cylinder intake gasket is leaking.,maintnet_terms
alert,engine alert wont turn on,maintnet_terms
vibration,#4 rocker cover leaking.,maintnet_terms
digital interface,#2 oil return line hose clamp is loose.,maintnet_terms
deficiency,rough running engine on start. engine ran smoother as it war,maintnet_terms
pilot drill,#3 rocker cover is leaking.,maintnet_terms
hyd,right engine #4 cylinder baffle bolt missing.,maintnet_terms
leaksent,right engine #1 & 4 rocker covers leaking.,maintnet_terms
cat,#3 rocker cover gasket leaking.,maintnet_terms
repair/replace,left engine #4 aft baffle cracked in multiple places.,maintnet_terms
main,left engine #4 aft baffle cracked in multiple places.,maintnet_terms
hydraulic,right engine #2 intake gasket leaking.,maintnet_terms
control,baffle seals under control prop governors are loose.,maintnet_terms
valve,#2 intake is leaking.,maintnet_terms
assyho,#2 cylinder has low compression.,maintnet_terms
penninvoice,#4 rocker cover is leaking.,maintnet_terms
installation,right baffle front side has a crack.,maintnet_terms
polycast,right engine #4 cylinder intake gasket is leaking.,maintnet_terms
sander,screw is missing on #3 cylinder baffle.,maintnet_terms
fisherbobcat,right front baffle seal loose.,maintnet_terms
stratford,Invoice for maintenance sent to Stratford,maintnet_terms
rear-end,engine started running rough shortly after takeoff & landed,maintnet_terms
broken,#1 & 3 intakes leaking.,maintnet_terms
