record_id,problem,action,aircraft_model,manufacturer,source
MN_100001,ENGINE IDLE OVERRIDE KILLED ENGINE.,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.",,,maintnet
MN_100002,ENGINE IDLE OVERRIDE KILLED ENGINE.,REMOVED & REPLACED FUEL SERVO,,,maintnet
MN_100003,ENGINE IDLE OVERRIDE KILLED ENGINE.,"A/C WAS RUN UP, SET IDLE SPEED, MIXTURE OK, NO LEAKS NO",,,maintnet
MN_100004,HAD ENGINE CHOKE & BRIEFLY LOSE POWER ON DEPARTURE. FULL THR,"PERFORMED ENGINE RUN UP, FOUND CYL 2 LOWER PLUG FOULED.",,,maintnet
MN_100005,#2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.,,,maintnet
MN_100006,ROCKER BOX COVER SCREWS LOOSE (ALL CYL).,TIGHTENED SCREWS.,,,maintnet
MN_100007,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,,,maintnet
MN_100008,#3 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,,,maintnet
MN_100009,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,,,maintnet
MN_100010,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,,,maintnet
MN_100011,"HOLDING SHORT OF RUNWAY, AFTER COMPLETION OF RUN UP, ENGINE","PERFORMED ENGINE RUN UP, ADJUSTED IDLE & CLEANED SPARK",,,maintnet
MN_100012,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,,,maintnet
MN_100013,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,,,maintnet
MN_100014,"#1, 2 & 3 ROCKER BOX COVER GASKETS LEAKING.",INSTALLED NEW ROCKER BOX COVER GASKETS.,,,maintnet
MN_100015,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,,,maintnet
MN_100016,#1 & 3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKET.,,,maintnet
MN_100017,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,,,maintnet
MN_100018,#1 ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,,,maintnet
MN_100019,#1 INTAKE GASKET LEAKING.,REPLACED W/ NEW GASKET.,,,maintnet
MN_100020,ROCKER COVER FOR CYL #1 IS LEAKING.,REPLACED ROCKER COVER.,,,maintnet
MN_100021,CYL #4 INTAKE LEAKING.,REPLACED GASKET. LEAK CHECK GOOD.,,,maintnet
MN_100022,#2 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS. CLEANED LEAKS,,,maintnet
MN_100023,ROCKER BOX COVER SCREWS ARE LOOSE.,TIGHTENED SCREWS.,,,maintnet
MN_100024,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.,,,maintnet
MN_100025,#1 INTAKE GASKET LEAKING.,"REMOVED INTAKE TUBE, FOUND TUBE TO BE CRACKED. REMOVED",,,maintnet
MN_100026,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.,,,maintnet
MN_100027,R/H MAG BLAST TUBE FELL OFF.,REMOVED R/H AFT BAFFLE TO FACILITATE REPAIR. FABRICATED,,,maintnet
MN_100028,"ON START UP, ENGINE BEGAN TO RUN ROUGH. RAN ENGINE @ 1200 RP","INSPECTED CYL 1, 2 & 4 IAW  - CK'ED OK. REMOVED",,,maintnet
