entity_id,record_id,entity_text,entity_type,source
ENT_19750315005389A_0,19750315005389A,COCKED,PRODUCT,spacy_ner
ENT_19750419011349A_0,19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE,ORG,spacy_ner
ENT_19751029037799A_0,19751029037799A,2ND,DATE,spacy_ner
ENT_19751029037799A_0,19751029037799A,ACFT,ORG,spacy_ner
ENT_19751029037799A_0,19751029037799A,FREQ,PERSON,spacy_ner
ENT_19751209037899A_0,19751209037899A,PLT NOTED,ORG,spacy_ner
ENT_19751209037899A_0,19751209037899A,BRAKE,ORG,spacy_ner
ENT_19750905025029A_0,19750905025029A,ACFT,ORG,spacy_ner
ENT_19750905025029A_0,19750905025029A,6 IN,PERCENT,spacy_ner
ENT_19750923031109A_0,19750923031109A,DEP,ORG,spacy_ner
ENT_19750923031109A_0,19750923031109A,DIDNT USE EMERG GR,ORG,spacy_ner
ENT_19750923031109A_0,19750923031109A,SYS,ORG,spacy_ner
ENT_19760215007629A_0,19760215007629A,CK VOR,ORG,spacy_ner
ENT_19760215007629A_0,19760215007629A,PRIOR DAY,DATE,spacy_ner
ENT_19760531024959A_0,19760531024959A,MAINT,ORG,spacy_ner
ENT_19760531024959A_0,19760531024959A,ACTUATE,ORG,spacy_ner
ENT_19760507010379A_0,19760507010379A,MESQUITE BRUSH.DENSITY ALT,ORG,spacy_ner
ENT_19761022033409A_0,19761022033409A,WNDSHD & WINDOWS FOGGED UP DURING,ORG,spacy_ner
ENT_19761021035989A_0,19761021035989A,PLT,ORG,spacy_ner
ENT_19761021035989A_0,19761021035989A,23KTS,CARDINAL,spacy_ner
ENT_19761119035559A_0,19761119035559A,BANNER PICK,ORG,spacy_ner
ENT_19761119035559A_0,19761119035559A,ON TOW ROPE,ORG,spacy_ner
ENT_19761119035559A_0,19761119035559A,UN,ORG,spacy_ner
ENT_19761119035559A_0,19761119035559A,FLT,ORG,spacy_ner
ENT_19770506041719A_0,19770506041719A,UN,ORG,spacy_ner
ENT_19770702018479A_0,19770702018479A,RUDDER & AIL CTL CABLES LOOSE,ORG,spacy_ner
ENT_19770814024089A_0,19770814024089A,L MAG,ORG,spacy_ner
ENT_19770814024089A_0,19770814024089A,CYL,ORG,spacy_ner
ENT_19770814024089A_0,19770814024089A,25/80,CARDINAL,spacy_ner
ENT_19770528021299A_0,19770528021299A,1/2,CARDINAL,spacy_ner
ENT_19770528021299A_0,19770528021299A,BRAKE,ORG,spacy_ner
ENT_19770610021339A_0,19770610021339A,ACFT N42807 &,ORG,spacy_ner
ENT_19770610021339A_0,19770610021339A,SUBSTANTIALLY DMGD,ORG,spacy_ner
ENT_19770622018359A_0,19770622018359A,PLT DID NOT USE EMERG,PRODUCT,spacy_ner
ENT_19770622018359A_0,19770622018359A,GR,ORG,spacy_ner
